,id,depart_at,seats,prefs,notes,free_seats,user_id,handle_fee_rate,handle_fee_ceiling_factor,handle_fee_maximum,accept_cash,accept_online_payment,quick_booking,flex_booking,price,car_id,currency_id,distance,detour_preference,overview_polyline,duration,waypoints_attributes,chat,kids,music,animals,comfort,smoking,id_arr,latitude_arr,longitude_arr,name_arr,id_dep,latitude_dep,longitude_dep,name_dep
1,5413648,2017-09-07T07:30:00+02:00,2,"{'chat': '0', 'kids': '0', 'music': '0', 'animals': '0', 'baggage': None, 'comfort': '0', 'smoking': '0', 'motorway': '0'}","El trayecto dura aproximandamente 1 hora, hago este viaje a diario ya que trabajo en San Pedro de Alcántara.",1,1794150,10.0,10,100.0,True,True,True,True,500,291119,5,75280,none,iac_Fll~YeJm@mByA{AuAp@aBRe@z@eCi@[aA}@eAEoA{AaEbFaBfC_BlF}AhGm@fBQ|@o@s@I@IFANtAtLhApFE~CiG`SyHtX_AZu@[eA[yPo@c@c@c@`@yL}@Ye@i@ET`CdF~OvFbLxJzOfN|QnJrTfE`N|DpS~AnEjDjBdMdFbNtGxFbB`Fj@bXQt~@w@|UjB|QzDv\fL~OfC~Rr@fj@dEhNvArGtBtOpKdHhCrI\zI\hIhDtjAl~@dUrRfBjDrAtF~Aj[~DbKfEvDpKfHdGlKpArGVjI}AtQSdHh@rIbAvEvC|GbEbFhIdFvXfLzHbEnInGzL|EtPbFtJlFzKtE`LzBnHp@hKlCjD~BxD`FvC|HnCxP~CbJ`JfN|BfGbAzFbB`WfDvOdQzf@vBdOBpNoCnT]zJf@hJfDjNlBbK\pJf@nPvE`PnItKtK~JfY`XnWnWbKvOjGhPxDhTlAdUl@`PlBfQdE~NlJhPn[ra@fJlShK~a@hHpNdM`NzRpP~HbM`ClI~@dHRvI_@jIgA~GcEvMyGlVs@dHMnLpBdSbCpIdH`MjHzGhFlC~HvBbSj@`UUve@]xNfApLfFvBbBvElFjFrKzClNh@~Hr@bk@jAbKzB`J|CjH`HrJbHpFzFjChNtDlRdEb\vHnNfHnM`MdJvOtE|MrC~NjBrNbEjQjCzFrGxIhNhK~ElDnGfHjDtH|CjPP|KkC|TaCbQShKv@`PjH`XlCrKdA~JWdPiCpOoGl^k@nQf@xXSzPoCrNiL~WqC~KqApXkB`RuHnX}@vIF|UUjPiDvPqE~Q}@jQApQi@fI}D|R_C|KoBnPa@pO\lMrDfYfFjW~@xL{@jRwEhPmGnNsDxNq@bNLd\eBnSeChImDtGiMfQqCfHiB`Jc@pQjCxR`JfVzCjQbAdXxClYlAlRkAvPoBfNE|I|F~f@b@bO_@jDa@\KPJ`@^InEsEnBwAZFH}@a@_AjA_EfAeGAkELOtB]vB{C`EyDxB}@dFb@rCg@bF_AlBiBbCuBoCjAoBlA_EMwFeA{Dd@}NjPk@BKfALp@@~FwA|Eo@fEyBlBO@yDdEa@JFb@^CbC|Hr@xB~Jrg@Xb[DfIv@vH`FlRnBjLfB~TpD`i@Zxb@w@zHoApDoI`Vg@|EFpMf@pEzCzIrNh^tFlG|EjBlILfSuCfRoAnNVjIvBxFlDrXxXtOhQ|@hBfBlIbB`PvD~a@jJzkAGvJqAbBuCx@}@r@~@pBfAzM}A|Ed@~WQrBMXJ^JDl@`Gm@j@,4235,"[{'id': 18639291, 'latitude': 36.721261, 'longitude': -4.4212655, 'name': 'Málaga'}, {'id': 18639292, 'latitude': 36.721261, 'longitude': -4.4212655, 'name': 'Málaga'}, {'id': 18639293, 'latitude': 36.510071, 'longitude': -4.8824474, 'name': 'Marbella'}, {'id': 18639294, 'latitude': 36.4867058, 'longitude': -4.9920468, 'name': 'San Pedro Alcántara'}]",0,0,0,0,0,0,18639294,36.4867058,-4.9920468,San Pedro Alcántara,18639291,36.721261,-4.4212655,Málaga
1,5413649,2017-09-08T07:30:00+02:00,2,"{'chat': '1', 'kids': '0', 'music': '1', 'animals': '0', 'baggage': 'medium', 'comfort': '1', 'smoking': '0', 'motorway': '0'}","El trayecto dura aproximandamente 1 hora, hago este viaje a diario ya que trabajo en San Pedro de Alcántara.",2,1794150,10.0,10,100.0,True,True,True,True,500,291119,5,75277,none,iac_Fll~YkJo@gBwA{AuAp@aBRe@z@eCi@[aA}@eAEoA{AaEbFaBfC_BlF}AhGm@fBQ|@o@s@I@IFANtAtLhApFE~CiG`SyHtX_AZu@[eA[yPo@c@c@c@`@yL}@Ye@i@ET`CdF~OvFbLxJzOfN|QnJrTfE`N|DpS~AnEjDjBdMdFbNtGxFbB`Fj@bXQt~@w@|UjB|QzDv\fL~OfC~Rr@fj@dEhNvArGtBtOpKdHhCrI\zI\hIhDtjAl~@dUrRfBjDrAtF~Aj[~DbKfEvDpKfHdGlKpArGVjI}AtQSdHh@rIbAvEvC|GbEbFhIdFvXfLzHbEnInGzL|EtPbFtJlFzKtE`LzBnHp@hKlCjD~BxD`FvC|HnCxP~CbJ`JfN|BfGbAzFbB`WfDvOdQzf@vBdOBpNoCnT]zJf@hJfDjNlBbK\pJf@nPvE`PnItKtK~JfY`XnWnWbKvOjGhPxDhTlAdUl@`PlBfQdE~NlJhPn[ra@fJlShK~a@hHpNdM`NzRpP~HbM`ClI~@dHRvI_@jIgA~GcEvMyGlVs@dHMnLpBdSbCpIdH`MjHzGhFlC~HvBbSj@`UUve@]xNfApLfFvBbBvElFjFrKzClNh@~Hr@bk@jAbKzB`J|CjH`HrJbHpFzFjChNtDlRdEb\vHnNfHnM`MdJvOtE|MrC~NjBrNbEjQjCzFrGxIhNhK~ElDnGfHjDtH|CjPP|KkC|TaCbQShKv@`PjH`XlCrKdA~JWdPiCpOoGl^k@nQf@xXSzPoCrNiL~WqC~KqApXkB`RuHnX}@vIF|UUjPiDvPqE~Q}@jQApQi@fI}D|R_C|KoBnPa@pO\lMrDfYfFjW~@xL{@jRwEhPmGnNsDxNq@bNLd\eBnSeChImDtGiMfQqCfHiB`Jc@pQjCxR`JfVzCjQbAdXxClYlAlRkAvPoBfNE|I|F~f@b@bO_@jDa@\KPJ`@^InEsEnBwAZFH}@a@_AjA_EfAeGAkELOtB]vB{C`EyDxB}@dFb@rCg@bF_AlBiBbCuBoCjAoBlA_EMwFeA{Dd@}NjPk@BKfALp@@~FwA|Eo@fEyBlBO@yDdEa@JFb@^CbC|Hr@xB~Jrg@Xb[DfIv@vH`FlRnBjLfB~TpD`i@Zxb@w@zHoApDoI`Vg@|EFpMf@pEzCzIrNh^tFlG|EjBlILfSuCfRoAnNVjIvBxFlDrXxXtOhQ|@hBfBlIbB`PvD~a@jJzkAGvJqAbBuCx@}@r@~@pBfAzM}A|Ed@~WQrBMXJ^JDl@`Gm@j@,4243,"[{'id': 18639295, 'latitude': 36.721261, 'longitude': -4.4212655, 'name': 'Málaga'}, {'id': 18639296, 'latitude': 36.721261, 'longitude': -4.4212655, 'name': 'Málaga'}, {'id': 18639297, 'latitude': 36.510071, 'longitude': -4.8824474, 'name': 'Marbella'}, {'id': 18639298, 'latitude': 36.4867058, 'longitude': -4.9920468, 'name': 'San Pedro Alcántara'}]",1,0,1,0,1,0,18639298,36.4867058,-4.9920468,San Pedro Alcántara,18639295,36.721261,-4.4212655,Málaga
